username,mean_rating,std_dev_rating,min_rating,max_rating,game_count
kingkonni07,2406.0,,2406,2406,1
kldio71,2209.0,,2209,2209,1
konakjan,2214.0,,2214,2214,1
krokoslav,2315.0,5.656854249492381,2311,2319,2
kzirt,2198.0,,2198,2198,1
l2316232021,2224.5,4.949747468305833,2221,2228,2
laiditmang05_ducminh,2507.5,3.5355339059327378,2505,2510,2
lecorsenoel,2182.0,,2182,2182,1
lennocc,2174.0,19.79898987322333,2160,2188,2
lfdp2eyes,2351.0,,2351,2351,1
lokiciousplayer1,2328.0,,2328,2328,1
lorien,2169.0,,2169,2169,1
luisramosz,2252.0,,2252,2252,1
luki20,2188.0,,2188,2188,1
lunchero,2274.0,,2274,2274,1
manubibi,2556.0,,2556,2556,1
marcelossauro,2358.0,,2358,2358,1
mariookov12,2259.0,,2259,2259,1
markla68,2227.0,,2227,2227,1
matascuaz,2191.0,,2191,2191,1
mehdi_king,2237.0,,2237,2237,1
mehdizeyghami,2281.0,,2281,2281,1
merbenroque_PCAP,2340.0,,2340,2340,1
migrate123,2312.0,,2312,2312,1
mihail2408,2322.5,4.949747468305833,2319,2326,2
mihiiir,2220.0,,2220,2220,1
milovichalex,2312.5,3.5355339059327378,2310,2315,2
misshersomuch,2491.0,,2491,2491,1
mk-1958,2200.0,,2200,2200,1
mo_nke,2386.0,,2386,2386,1
mohitswami1022,2176.0,,2176,2176,1
moriarty1010,2183.0,,2183,2183,1
moti6432,2234.0,,2234,2234,1
motiram_chess,2234.0,,2234,2234,1
mr_chessman057,2291.0,,2291,2291,1
mspn,2207.0,3.605551275463989,2204,2211,3
museful,2218.0,,2218,2218,1
myevli,2254.0,,2254,2254,1
nemonemo11,2463.5,4.949747468305833,2460,2467,2
newyorkmouse,2385.5,80.4590993403895,2303,2457,4
nh6plusplus,2180.0,,2180,2180,1
nicburn468,2293.0,,2293,2293,1
nick4567,2220.0,,2220,2220,1
oggy1984,2369.0,,2369,2369,1
